latency,type,condition
10222,baseline_start,None
25373,baseline_end,None
25373,condition_start,S
29942,buffer_start,S
32467,task_block_start,S
32467,pre_rec_start,S
44371,solve,S
95714,solve,S
100043,post_rec_start,S
115073,condition_start,C
115073,audio_start,C
117478,buffer_start,C
120003,task_block_start,C
120003,pre_rec_start,C
146096,solve,C
187580,post_rec_start,C
192149,solve,C
202850,condition_start,M
202850,audio_start,M
205255,buffer_start,M
207660,task_block_start,M
207660,pre_rec_start,M
255517,solve,M
275357,post_rec_start,M
